transaction_id,posted_date,merchant,amount,currency,category,account_id
58c42739-e24c-4d85-887f-38e69cee4e58,2025-08-01,Employer Payroll,2500.0,USD,Income,sofi
e2051352-82da-4893-a7ea-e7b7c964a0d9,2025-08-01,Rent Payment,-2000.0,USD,Rent,sofi
0c792d13-e6b5-4a2e-8843-6937928d15d5,2025-08-05,Internet Provider,-75.0,USD,Utilities,sofi
6a3e2e2e-d1a5-4d55-a486-748d57420cab,2025-08-05,Lyft,-16.63,USD,Transportation,sofi
17d4fa2a-87cd-4d32-8cad-bc2a3ed2fa48,2025-08-06,Blue Bottle,-8.67,USD,Coffee,sofi
7f73753e-aa62-4c62-948a-dc3840b3e31f,2025-08-06,Dropbox,-9.99,USD,Subscriptions,sofi
6ebeed82-8a60-4f5e-aec0-d2462944aa49,2025-08-06,Netflix,-15.49,USD,Subscriptions,sofi
5d6a16d5-7f3f-4bf2-a46c-a33186e28756,2025-08-06,Spotify,-11.99,USD,Subscriptions,sofi
93d778f1-2157-42fa-84e8-c28ca719e1a9,2025-08-07,Lyft,-21.37,USD,Transportation,sofi
348f9eb9-d945-4562-835d-3a547e77a586,2025-08-09,Costco,-88.51,USD,Groceries,sofi
e4662519-34c0-47f8-8034-edd507ed0e72,2025-08-11,Dropbox,-9.99,USD,Subscriptions,sofi
970fd5ed-507f-4b32-9421-74a589b9182c,2025-08-11,Grocery Store,-73.42,USD,Groceries,sofi
04757033-e4d8-4ad7-b91f-016eb3d176ef,2025-08-11,Netflix,-15.49,USD,Subscriptions,sofi
f087e523-1db9-4426-bdf8-288aa54063cd,2025-08-11,Spotify,-11.99,USD,Subscriptions,sofi
e454b05f-90ce-41af-9df4-29e2de56b12f,2025-08-14,Dunkin,-3.95,USD,Coffee,sofi
800b55d1-2001-445b-8083-cb0195c0cc1e,2025-08-15,Employer Payroll,2500.0,USD,Income,sofi
cbeb9e47-1eea-4662-b308-3eb2cfd88ed3,2025-08-19,Chipotle,-13.79,USD,Dining,sofi
b2a4b77d-c820-4ef6-9240-51ad770e7a78,2025-08-20,Dropbox,-9.99,USD,Subscriptions,sofi
ec596139-d4a6-4bba-a7ac-74521eea0337,2025-08-20,Netflix,-15.49,USD,Subscriptions,sofi
769ed843-7f02-436e-8f25-3e115f44607b,2025-08-20,Spotify,-11.99,USD,Subscriptions,sofi
96297bbf-732c-483c-b86b-51efe490f482,2025-08-23,NJ Transit,-4.29,USD,Transportation,sofi
88a912bb-d5df-42a5-96b0-4f1685166af3,2025-08-25,Blue Bottle,-8.15,USD,Coffee,sofi
